GeneName	n_homAA	n_hetRA
CYBB	0	2
CYBC1	0	0
CYBRD1	0	17819
CYC1	0	0
CYCS	0	1
CYFIP1	14	14130
CYFIP2	0	0
CYGB	0	0
CYHR1	0	0
CYLC1	0	0
CYLC2	0	2621
CYLD	0	0
CYP11A1	8	0
CYP11B1	0	0
CYP11B2	23	0
CYP17A1	0	971
CYP19A1	0	0
CYP1A1	0	3637
CYP1A2	0	52
CYP1B1	0	0
CYP20A1	0	7530
CYP21A2	0	0
CYP24A1	0	0
CYP26A1	0	0
CYP26B1	0	114
CYP26C1	0	14
CYP27A1	0	2527
CYP27B1	0	3
CYP27C1	0	284
CYP2A13	47	5544
CYP2A6	0	0
CYP2A7	0	0
CYP2B6	0	567
CYP2C18	0	0
CYP2C19	0	97
CYP2C8	0	8
CYP2C9	14	0
CYP2D6	0	7
CYP2E1	0	203
CYP2F1	0	27
CYP2J2	0	134
CYP2R1	0	0
CYP2S1	0	2
CYP2U1	0	1563
CYP2W1	4	0
CYP39A1	0	0
CYP3A4	6	0
CYP3A43	0	0
CYP3A5	0	0
CYP3A7	0	2
CYP3A7-CYP3A51P	0	4458
CYP46A1	0	0
CYP4A11	190	42
CYP4A22	0	0
CYP4B1	0	0
CYP4F11	0	1250
CYP4F12	0	0
CYP4F2	0	0
CYP4F22	0	22873
CYP4F3	0	26
CYP4F8	0	0
CYP4V2	0	3539
CYP4X1	0	0
CYP4Z1	0	101
CYP51A1	0	43
CYP7A1	0	49
CYP7B1	0	0
CYP8B1	8	0
CYREN	0	0
CYRIA	0	1257
CYRIB	0	1
CYS1	0	0
CYSLTR1	0	780
CYSLTR2	0	0
CYSRT1	0	246
CYSTM1	0	0
CYTH1	0	301
CYTH2	0	1
CYTH3	0	2
CYTH4	0	8
CYTIP	0	351
CYTL1	0	0
CYYR1	0	0
CZIB	0	0
D2HGDH	0	713
DAAM1	0	19060
DAAM2	0	3228
DAB1	0	87
DAB2	0	0
DAB2IP	0	1337
DACH1	0	1
DACH2	0	27
DACT1	0	24
DACT2	0	0
DACT3	0	0
DAD1	0	0
DAG1	0	3335
DAGLA	1	0
DAGLB	0	0
DALRD3	4	3
DAND5	0	2
DAO	105	0
DAOA	0	490
DAP	0	177
DAP3	0	535
DAPK1	0	0
DAPK2	0	2916
DAPK3	0	1
DAPL1	0	0
DAPP1	0	0
DARS1	0	2
DARS2	0	2
DAW1	0	2
DAXX	0	0
DAZ1	0	727
DAZ2	0	2651
DAZ3	0	0
DAZ4	0	1549
DAZAP1	0	377
DAZAP2	0	40
DAZL	0	3725
DBF4	0	3094
DBF4B	0	3
DBH	0	1645
DBI	0	0
DBN1	0	748
DBNDD1	0	23
DBNDD2	0	0
DBNL	0	598
DBP	0	0
DBR1	0	2806
DBT	0	3336
DBX1	0	0
DBX2	0	0
DCAF1	0	5
DCAF10	0	1342
DCAF11	0	538
DCAF12	0	76
DCAF12L1	0	543
DCAF12L2	0	57
DCAF13	0	154
DCAF15	0	276
DCAF16	0	0
DCAF17	2	9320
DCAF4	72	3847
DCAF4L1	0	141
DCAF4L2	0	0
DCAF5	0	1211
DCAF6	27	3733
DCAF7	112	0
DCAF8	0	0
DCAF8L1	1	2032
DCAF8L2	0	0
DCAKD	0	3
DCANP1	0	1415
DCBLD1	0	0
DCBLD2	0	0
DCC	8	0
DCD	46	25
DCDC1	0	0
DCDC2	0	38
DCDC2B	0	64
DCDC2C	0	185
DCHS1	6	5481
DCHS2	30	2077
DCK	0	0
DCLK1	0	0
DCLK2	0	1106
DCLK3	0	0
DCLRE1A	1	0
DCLRE1B	27	0
DCLRE1C	0	1146
DCN	0	0
DCP1A	0	1
DCP1B	0	0
DCP2	0	0
DCPS	0	229
DCST1	0	0
DCST2	0	1296
DCSTAMP	0	10323
DCT	0	13
DCTD	0	104
DCTN1	0	91
DCTN2	0	2093
DCTN3	0	1644
DCTN4	0	35
DCTN5	0	1
DCTN6	0	0
DCTPP1	0	0
DCUN1D1	0	21
DCUN1D2	0	33
DCUN1D3	0	15599
DCUN1D4	0	0
DCUN1D5	0	66
DCX	104	5890
DCXR	0	3637
DDA1	0	5
DDAH1	0	90
DDAH2	0	0
DDB1	0	56
DDB2	0	2658
DDC	0	0
DDHD1	0	21
DDHD2	0	0
DDI1	0	0
DDI2	0	0
DDIAS	0	468
DDIT3	0	0
DDIT4	0	0
DDIT4L	0	2
DDN	0	164
DDO	0	58
DDOST	3	0
DDR1	0	9590
DDR2	0	62
DDRGK1	0	272
DDT	115	0
DDTL	0	0
DDX1	0	0
DDX10	0	0
DDX11	0	77
DDX17	0	0
DDX18	0	12998
DDX19A	0	0
DDX19B	0	29
DDX20	0	750
DDX21	0	2777
DDX23	5	0
DDX24	0	0
DDX25	0	2
DDX27	0	1963
DDX28	0	5
DDX31	0	7
DDX39A	0	7337
DDX39B	0	2149
DDX3X	0	49
DDX3Y	0	2
DDX4	0	295
DDX41	0	591
DDX42	0	0
DDX43	0	56
DDX46	0	9857
DDX47	5	29
DDX49	0	0
DDX5	0	5
DDX50	53	127
DDX51	0	62
DDX52	0	0
DDX53	0	2741
DDX54	0	0
DDX55	0	0
DDX56	0	2
DDX58	0	0
DDX59	0	0
DDX6	55	2110
DDX60	0	0
DDX60L	0	0
DEAF1	0	2572
DECR1	0	1
DECR2	0	20
DEDD	0	0
DEDD2	0	7
DEF6	0	0
DEF8	0	0
DEFA1	0	269
DEFA1B	0	64
DEFA3	0	451
DEFA4	0	716
DEFA5	0	0
DEFA6	0	2
DEFB1	0	0
DEFB103A	6	140
DEFB103B	0	6
DEFB104A	0	1
DEFB104B	0	234
DEFB105A	0	407
DEFB105B	0	0
DEFB106A	0	473
DEFB106B	0	3593
DEFB107A	0	1
DEFB107B	0	17491
DEFB108B	0	0
DEFB110	0	410
DEFB112	0	0
DEFB113	0	12
DEFB114	0	160
DEFB115	0	0
DEFB116	0	0
DEFB118	0	145
DEFB119	0	0
DEFB121	1	0
DEFB123	0	18
DEFB124	0	507
DEFB125	0	2807
DEFB126	0	0
DEFB127	0	1
DEFB128	0	0
DEFB129	0	0
DEFB130A	0	16367
DEFB130B	0	579
DEFB131A	0	308
DEFB131B	0	0
DEFB132	0	37
DEFB133	0	0
DEFB134	0	2714
DEFB135	12	0
DEFB136	0	1715
DEFB4A	0	0
DEFB4B	0	1027
DEGS1	0	0
DEGS2	0	0
DEK	0	107
DELE1	173	1
DENND10	0	0
DENND11	0	0
DENND1A	0	98
DENND1B	0	0
DENND1C	0	0
DENND2A	0	36
DENND2B	0	0
DENND2C	0	17
DENND2D	0	0
DENND3	0	0
DENND4A	0	3
DENND4B	0	13
DENND4C	0	956
DENND5A	4	9
DENND5B	0	0
DENND6A	0	64
DENND6B	4	2
DENR	28	1
DEPDC1	0	0
DEPDC1B	0	0
DEPDC4	0	0
DEPDC5	15	4
DEPDC7	0	104
DEPP1	0	14750
DEPTOR	0	0
DERA	10	0
DERL1	0	147
DERL2	0	1485
DERL3	0	0
DERPC	0	19
DES	0	0
DESI1	0	1167
DESI2	0	0
DET1	0	2617
DEUP1	0	0
DEXI	0	1293
DFFA	0	0
DFFB	0	23
DGAT1	0	3028
DGAT2	0	53
DGAT2L6	0	0
DGCR2	0	14
DGCR6	0	410
DGCR6L	5	4690
DGCR8	0	1086
DGKA	0	0
DGKB	0	0
DGKD	0	88
DGKE	0	0
DGKG	0	0
DGKH	0	7749
DGKI	0	0
DGKK	0	9795
DGKQ	0	0
DGKZ	0	0
DGLUCY	0	3290
DGUOK	0	0
DHCR24	0	491
DHCR7	0	5
DHDDS	0	135
DHDH	0	0
DHFR	0	22
DHFR2	0	0
DHH	0	498
DHODH	0	0
DHPS	0	397
DHRS1	0	3070
DHRS11	0	542
DHRS12	0	0
DHRS13	0	0
DHRS2	0	37
DHRS3	0	0
DHRS4	0	0
DHRS4L2	0	0
DHRS7	0	20
DHRS7B	0	0
DHRS7C	16	0
DHRS9	0	0
DHRSX	0	36
DHTKD1	0	35
DHX15	0	0
DHX16	0	39
DHX29	0	4102
DHX30	0	1435
DHX32	0	1
DHX33	0	0
DHX34	0	128
DHX35	0	266
DHX36	0	76
DHX37	0	141
DHX38	2	277
DHX40	0	150
DHX57	0	0
DHX58	0	1
DHX8	0	24
DHX9	0	6
DIABLO	0	87
DIAPH1	0	376
DIAPH2	0	229
DIAPH3	0	0
DICER1	0	0
DIDO1	24	0
DIMT1	21	619
DIO1	0	0
DIO2	0	0
DIO3	0	0
DIP2A	0	1371
DIP2B	0	1
DIP2C	0	868
DIPK1A	0	118
DIPK1B	0	33
DIPK1C	0	0
DIPK2A	7	0
DIPK2B	0	0
DIRAS1	0	179
DIRAS2	0	0
DIRAS3	0	1601
DIRC1	0	0
DIS3	0	47
DIS3L	0	6
DIS3L2	0	2
DISC1	0	966
DISP1	4	84
DISP2	0	27
DISP3	0	0
DIXDC1	0	0
DKC1	0	56
DKK1	0	1916
DKK2	0	537
DKK3	0	0
DKK4	0	7381
DKKL1	0	410
DLAT	0	0
DLC1	0	1011
DLD	0	0
DLEC1	14	31
DLEU7	0	300
DLG1	0	0
DLG2	0	4445
DLG3	0	0
DLG4	0	0
DLG5	0	5094
DLGAP1	0	55
DLGAP2	0	79
DLGAP3	0	1
DLGAP4	0	788
DLGAP5	0	0
DLK1	0	5008
DLK2	0	0
DLL1	0	0
DLL3	45	13
DLL4	0	348
DLST	0	1068
DLX1	0	36
DLX2	34	0
DLX3	0	0
DLX4	0	1
DLX5	0	0
DLX6	0	45
DMAC1	16	1
DMAC2	1	2
DMAC2L	0	0
DMAP1	0	38
DMBT1	21	0
DMBX1	0	0
DMC1	0	0
DMD	0	0
DMGDH	0	2723
DMKN	0	0
DMP1	0	1522
DMPK	0	14
DMRT1	0	26
DMRT2	0	756
DMRT3	0	3410
DMRTA1	0	0
DMRTA2	0	2
DMRTB1	0	0
DMRTC1	0	0
DMRTC1B	0	3
DMRTC2	0	228
DMTF1	0	11
DMTN	0	67
DMWD	0	1927
DMXL1	0	3
DMXL2	0	91
DNA2	0	9
DNAAF1	0	6
DNAAF2	0	0
DNAAF3	0	12
DNAAF4	0	0
DNAAF5	0	0
DNAH1	0	3514
DNAH10	28	0
DNAH11	0	804
DNAH12	0	0
DNAH14	0	0
DNAH17	0	193
DNAH2	0	261
DNAH3	0	480
DNAH5	0	0
DNAH6	0	0
DNAH7	0	0
DNAH8	0	2
DNAH9	0	1176
DNAI1	0	191
DNAI2	0	0
DNAJA1	0	0
DNAJA2	0	0
DNAJA3	0	0
DNAJA4	11	1534
DNAJB1	62	47
DNAJB11	0	0
DNAJB12	0	0
DNAJB13	0	2
DNAJB14	0	0
DNAJB2	0	196
DNAJB4	1	586
DNAJB5	0	0
DNAJB6	0	0
DNAJB7	0	0
DNAJB8	0	0
DNAJB9	0	0
DNAJC1	6	0
DNAJC10	0	9
DNAJC11	0	17
DNAJC12	0	1419
DNAJC13	0	2527
DNAJC14	3	0
DNAJC15	0	0
DNAJC16	0	52
DNAJC17	0	4469
DNAJC18	0	0
DNAJC19	0	0
DNAJC2	0	0
DNAJC21	0	0
DNAJC22	0	127
DNAJC24	0	1
DNAJC25	0	90
DNAJC25-GNG10	0	563
DNAJC27	0	7
DNAJC28	0	0
DNAJC3	0	0
DNAJC30	0	2
DNAJC4	0	0
DNAJC5	0	0
DNAJC5B	0	0
DNAJC5G	0	327
DNAJC6	0	3608
DNAJC7	0	0
DNAJC8	0	1
DNAJC9	0	0
DNAL1	0	0
DNAL4	0	0
DNALI1	0	0
DNASE1	0	0
DNASE1L1	0	0
DNASE1L2	0	0
DNASE1L3	0	0
DNASE2	0	0
DNASE2B	0	725
DND1	0	16
DNER	10	742
DNHD1	0	2
DNLZ	188	0
DNM1	0	0
DNM1L	0	0
DNM2	9	0
DNM3	82	335
DNMBP	0	0
DNMT1	0	1
DNMT3A	0	13957
DNMT3B	1	0
DNMT3L	0	53
DNPEP	0	40
DNPH1	0	0
DNTT	0	0
DNTTIP1	0	5
DNTTIP2	0	0
DOC2A	0	183
DOC2B	0	20731
DOCK1	0	5
DOCK10	0	59
DOCK11	0	14
DOCK2	0	0
DOCK3	26	6294
DOCK4	0	0
DOCK5	0	18
DOCK6	553	0
DOCK7	0	15
DOCK8	0	0
DOCK9	0	0
DOHH	0	482
DOK1	0	1427
DOK2	0	3
DOK3	0	1
DOK4	0	214
DOK5	0	0
DOK6	0	0
DOK7	0	11
DOLK	0	0
DOLPP1	0	74
DONSON	0	0
DOP1A	0	66
DOP1B	1	11837
DOT1L	0	1
DPAGT1	0	0
DPCD	0	0
DPEP1	0	0
DPEP2	0	0
DPEP2NB	0	16
DPEP3	0	0
DPF1	0	0
DPF2	0	335
DPF3	0	0
DPH1	0	0
DPH2	0	3859
DPH3	0	9
DPH5	0	406
DPH6	1	150
DPH7	0	6
DPM1	0	0
DPM2	0	171
DPM3	0	2105
DPP10	0	15
DPP3	0	0
DPP4	0	1243
DPP6	0	9
DPP7	0	0
DPP8	0	894
DPP9	0	0
DPPA2	0	3672
DPPA3	2	6
DPPA4	0	6
DPPA5	0	1
DPRX	0	34
DPT	0	33
DPY19L1	0	1506
DPY19L2	0	0
DPY19L3	0	0
DPY19L4	0	1950
DPY30	0	2515
DPYD	20	271
DPYS	0	2431
DPYSL2	7	1403
DPYSL3	13	0
DPYSL4	0	98
DPYSL5	0	0
DQX1	0	0
DR1	45	0
DRAM1	0	52
DRAM2	0	1388
DRAP1	20	0
DRAXIN	0	0
DRC1	0	3063
DRC3	0	1075
DRC7	1	0
DRD1	0	0
DRD2	15	0
DRD3	0	0
DRD4	0	0
DRD5	0	17
DRG1	0	0
DRG2	0	354
DRGX	0	115
DRICH1	0	1
DROSHA	0	0
DRP2	0	1
DSC1	0	1299
DSC2	0	2
DSC3	0	0
DSCAM	0	1
DSCAML1	0	0
DSCC1	0	459
DSE	0	44
DSEL	0	14
DSG1	0	14
DSG2	0	833
DSG3	0	127
DSG4	0	5
DSN1	0	1
DSP	0	0
DSPP	0	485
DST	0	7
DSTN	0	0
DSTYK	46	22
DTD1	0	195
DTD2	0	465
DTHD1	0	5
DTL	0	0
DTNA	19	2625
DTNB	70	0
DTNBP1	0	21701
DTWD1	1	316
DTWD2	0	0
DTX1	0	12
DTX2	12	469
DTX3	0	4760
DTX3L	0	0
DTX4	0	1101
DTYMK	0	4
DUOX1	0	364
DUOX2	3	74
DUOXA1	0	0
DUOXA2	0	335
DUPD1	0	1243
DUS1L	0	1822
DUS2	0	0
DUS3L	0	74
DUS4L	0	0
DUS4L-BCAP29	0	0
DUSP1	0	0
DUSP10	0	0
DUSP11	0	42
DUSP12	0	0
DUSP13	0	4356
DUSP14	19	13
DUSP15	8	0
DUSP16	0	0
DUSP18	0	128
DUSP19	0	152
DUSP2	0	0
DUSP21	0	137
DUSP22	0	0
DUSP23	0	0
DUSP26	0	0
DUSP27	75	0
DUSP28	0	28
DUSP3	0	0
DUSP4	1	23032
DUSP5	0	12
DUSP6	0	335
DUSP7	0	0
DUSP8	0	1
DUSP9	0	8
DUT	0	0
DUX4	0	5
DUXA	0	519
DUXB	0	5
DVL1	0	5
DVL2	0	3
DVL3	8	829
DXO	0	0
DYDC1	0	20
DYDC2	0	0
DYM	0	0
DYNAP	0	0
DYNC1H1	0	41
DYNC1I1	0	503
DYNC1I2	0	3817
DYNC1LI1	25	22
DYNC1LI2	0	1
DYNC2H1	0	1414
DYNC2LI1	0	72
DYNLL1	0	9
DYNLL2	0	0
DYNLRB1	0	1
DYNLRB2	0	166
DYNLT1	0	1752
DYNLT3	2	381
DYRK1A	0	15
DYRK1B	0	1
DYRK2	0	2
DYRK3	0	0
DYRK4	0	0
DYSF	0	3
DYTN	118	0
DZANK1	276	37
DZIP1	0	3
DZIP1L	0	71
DZIP3	0	1866
E2F1	0	114
E2F2	0	4217
E2F3	0	0
E2F4	0	7268
E2F5	0	2
E2F6	7	171
E2F7	0	0
E2F8	0	0
E4F1	0	1003
EAF1	0	0
EAF2	0	27
EAPP	0	1809
EARS2	0	0
EBAG9	0	0
EBF1	0	0
EBF2	0	116
EBF3	0	0
EBF4	0	9212
EBI3	0	0
EBLN1	0	0
EBLN2	0	1
EBNA1BP2	0	13
EBP	0	0
EBPL	0	8
ECD	0	1196
ECE1	0	8646
ECE2	0	32
ECEL1	3	0
ECH1	0	0
ECHDC1	0	0
ECHDC2	0	4657
ECHDC3	0	0
ECHS1	0	0
ECI1	7	0
ECI2	0	11
ECM1	0	0
ECM2	2	2
ECPAS	0	0
ECRG4	0	0
ECSCR	0	0
ECSIT	0	130
ECT2	0	0
ECT2L	73	798
EDA	0	0
EDA2R	8	0
EDAR	0	161
EDARADD	0	16912
EDC3	0	0
EDC4	4	1924
EDDM13	0	306
EDDM3A	0	0
EDDM3B	0	0
EDEM1	0	7
EDEM2	23	0
EDEM3	0	42
EDF1	0	0
EDIL3	0	961
EDN1	0	6
EDN2	0	95
EDN3	0	1
EDNRA	0	0
EDNRB	17	5218
EDRF1	0	1
EEA1	0	802
EED	37	0
EEF1A1	0	5
EEF1A2	0	0
EEF1AKMT1	0	62
EEF1AKMT2	0	32
EEF1AKMT3	0	1406
EEF1AKMT4	0	0
EEF1AKMT4-ECE2	0	0
EEF1AKNMT	0	0
EEF1B2	16	1
EEF1D	0	2
EEF1E1	0	13
EEF1G	0	134
EEF2	0	102
EEF2K	0	0
EEF2KMT	185	0
EEFSEC	8	713
EEPD1	0	106
EFCAB1	57	0
EFCAB10	0	1
EFCAB11	0	0
EFCAB12	12	70
EFCAB13	0	120
EFCAB14	0	2
EFCAB2	0	0
EFCAB3	0	0
EFCAB5	0	859
EFCAB6	3	878
EFCAB7	0	0
EFCAB8	0	0
EFCAB9	0	15035
EFCC1	0	0
EFEMP1	0	0
EFEMP2	0	1166
EFHB	0	0
EFHC1	0	0
EFHC2	0	245
EFHD1	0	2412
EFHD2	0	238
EFL1	0	0
EFNA1	0	2
EFNA2	0	12
EFNA3	0	0
EFNA4	0	9
EFNA5	0	0
EFNB1	0	88
EFNB2	0	0
EFNB3	0	1331
EFR3A	0	0
EFR3B	151	0
EFS	0	119
EFTUD2	0	0
EGF	1	2
EGFL6	0	0
EGFL7	0	43
EGFL8	0	0
EGFLAM	0	1005
EGFR	0	62
EGLN1	0	0
EGLN2	0	9
EGLN3	0	31
EGR1	0	0
EGR2	0	21
EGR3	0	7417
EGR4	30	0
EHBP1	0	0
EHBP1L1	0	19
EHD1	0	4
EHD2	0	0
EHD3	0	8
EHD4	0	1154
EHF	0	0
EHHADH	0	0
EHMT1	0	0
EHMT2	0	0
EI24	0	4
EID1	6	478
EID2	0	13
EID2B	0	6
EID3	0	349
EIF1	112	7146
EIF1AD	0	2
EIF1AX	0	74
EIF1AY	0	2729
EIF1B	0	0
EIF2A	0	567
EIF2AK1	0	9
EIF2AK2	0	0
EIF2AK3	0	12
EIF2AK4	0	0
EIF2B1	0	0
EIF2B2	3	0
EIF2B3	0	3044
EIF2B4	0	10855
EIF2B5	0	0
EIF2D	0	0
EIF2S1	0	0
EIF2S2	0	8598
EIF2S3	0	283
EIF2S3B	0	538
EIF3A	50	17
EIF3B	0	0
EIF3C	30	0
EIF3CL	0	0
EIF3D	0	88
EIF3E	0	12
EIF3F	0	0
EIF3G	0	2
EIF3H	0	0
EIF3I	0	5436
EIF3J	89	0
EIF3K	0	0
EIF3L	0	169
EIF3M	0	922
EIF4A1	0	0
EIF4A2	0	66
EIF4A3	0	121
EIF4B	0	1572
EIF4E	0	121
EIF4E1B	0	0
EIF4E2	0	1199
EIF4E3	0	3324
EIF4EBP1	0	0
EIF4EBP2	0	0
EIF4EBP3	0	155
EIF4ENIF1	0	403
EIF4G1	0	515
EIF4G2	0	48
EIF4G3	0	12773
EIF4H	0	1
EIF5	54	0
EIF5A	0	80
EIF5A2	0	0
EIF5AL1	0	809
EIF5B	0	10384
EIF6	0	4
EIPR1	0	210
ELAC1	0	210
ELAC2	0	0
ELANE	0	1290
ELAVL1	0	0
ELAVL2	0	2485
ELAVL3	0	9
ELAVL4	0	47
ELF1	0	180
ELF2	0	52
ELF3	0	0
ELF4	0	0
ELF5	0	0
ELFN1	0	0
ELFN2	0	607
ELK1	0	18
ELK3	0	0
ELK4	0	82
ELL	0	0
ELL2	0	0
ELL3	0	1973
ELMO1	0	70
ELMO2	0	0
ELMO3	0	1
ELMOD1	0	1
ELMOD2	0	594
ELMOD3	0	7
ELN	0	138
ELOA	0	0
ELOA2	0	1183
ELOA3D	0	260
ELOB	0	0
ELOC	0	0
ELOF1	0	9
ELOVL1	0	0
ELOVL2	0	608
ELOVL3	0	10670
ELOVL4	0	0
ELOVL5	0	0
ELOVL6	0	0
ELOVL7	0	1570
ELP1	218	26
ELP2	0	0
ELP3	0	0
ELP4	0	7
ELP5	0	151
ELP6	38	0
ELSPBP1	172	0
EMB	0	3402
EMC1	5	8
EMC10	0	54
EMC2	0	554
EMC3	0	529
EMC4	1	100
EMC6	12	834
EMC7	0	218
EMC8	0	0
EMC9	0	1
EMCN	0	14222
EMD	0	582
EME1	16	0
EME2	0	0
EMG1	0	1
EMID1	0	0
EMILIN1	0	0
EMILIN2	0	0
EMILIN3	0	1
EML1	0	1
EML2	0	119
EML3	0	2499
EML4	0	31
EML5	0	0
EML6	0	1190
EMP1	0	0
EMP2	0	13958
EMP3	0	0
EMSY	0	0
EMX1	0	49
EMX2	0	44
EN1	0	147
EN2	0	200
ENAH	0	1343
ENAM	0	0
ENC1	0	2
ENDOD1	0	6800
ENDOG	0	0
ENDOU	0	0
ENDOV	0	5451
ENG	0	1
ENGASE	0	2425
ENHO	0	0
ENKD1	0	14
ENKUR	0	94
ENO1	0	5885
ENO2	0	0
ENO3	0	302
ENO4	0	0
ENOPH1	0	1072
ENOSF1	0	410
ENOX1	0	0
ENOX2	0	44
ENPEP	0	0
ENPP1	0	3809
ENPP2	0	0
ENPP3	0	0
ENPP4	0	0
ENPP5	0	12
ENPP6	0	0
ENPP7	0	1663
ENSA	0	1691
ENTHD1	0	3189
ENTPD1	0	0
ENTPD2	0	16
ENTPD3	2	0
ENTPD4	22	0
ENTPD5	0	11
ENTPD6	7	1
ENTPD7	0	1903
ENTPD8	0	13418
ENTR1	0	136
ENY2	0	1400
EOGT	4	1301
EOLA1	11	0
EOLA2	0	1114
EOMES	0	0
EP300	1	228
EP400	0	0
EPAS1	0	0
EPB41	0	0
EPB41L1	0	0
EPB41L2	0	0
EPB41L3	4	0
EPB41L4A	0	854
EPB41L4B	0	123
EPB41L5	0	286
EPB42	0	0
EPC1	0	17620
EPC2	0	0
EPCAM	6	0
EPDR1	0	0
EPG5	0	0
EPGN	0	0
EPHA1	0	7
EPHA10	0	8593
EPHA2	0	0
EPHA3	0	0
EPHA4	0	0
EPHA5	0	26
EPHA6	33	1
EPHA7	0	3145
EPHA8	0	0
EPHB1	0	1
EPHB2	0	14
EPHB3	0	2335
EPHB4	0	12928
EPHB6	0	4
EPHX1	0	192
EPHX2	0	2
EPHX3	0	5
EPHX4	0	92
EPM2A	0	0
EPM2AIP1	0	212
EPN1	0	0
EPN2	0	1218
EPN3	10	486
EPO	0	14
EPOP	0	2
EPOR	32	17
EPPIN	0	0
EPPIN-WFDC6	62	0
EPPK1	0	18
EPRS1	1	1465
EPS15	0	4556
EPS15L1	0	466
EPS8	0	1314
EPS8L1	0	41
EPS8L2	0	872
EPS8L3	0	4441
EPSTI1	0	0
EPX	0	14
EPYC	0	0
EQTN	0	24466
ERAL1	0	166
ERAP1	0	4
ERAP2	0	0
ERAS	0	1
ERBB2	0	0
ERBB3	0	254
ERBB4	0	25434
ERBIN	0	3
ERC1	0	0
ERC2	0	1781
ERCC1	0	0
ERCC2	0	203
ERCC3	0	203
ERCC4	0	877
ERCC5	0	0
ERCC6	0	12595
ERCC6L	0	16
ERCC6L2	0	1223
ERCC8	0	0
EREG	0	1065
ERF	0	0
ERFE	0	7
ERFL	0	3556
ERG	0	0
ERG28	0	1604
ERGIC1	0	0
ERGIC2	0	71
ERGIC3	0	239
ERH	0	0
ERI1	0	4
ERI2	11	5504
ERI3	0	0
ERICH1	0	0
ERICH2	0	0
ERICH3	0	1
ERICH4	34	104
ERICH5	0	66
ERICH6	0	0
ERICH6B	1	0
ERLEC1	109	14
ERLIN1	0	0
ERLIN2	0	4
ERMAP	0	919
ERMARD	0	0
ERMN	0	0
ERMP1	0	191
ERN1	0	0
ERN2	0	144
ERO1A	0	1802
ERO1B	0	0
ERP27	0	222
ERP29	0	12
ERP44	0	7
ERRFI1	0	371
ERV3-1	0	0
ERVFRD-1	0	0
ERVK3-1	184	2741
ERVMER34-1	0	0
ERVV-1	0	1
ERVV-2	0	6405
ERVW-1	209	39
ESAM	0	195
ESCO1	0	501
ESCO2	0	0
ESD	0	105
ESF1	0	0
ESM1	0	0
ESPL1	0	0
ESPN	21	2989
ESPNL	0	0
ESR1	0	101
ESR2	0	12
ESRP1	0	3924
ESRP2	3	20
ESRRA	0	0
ESRRB	0	3440
ESRRG	0	7
ESS2	0	9
ESX1	0	62
ESYT1	0	0
ESYT2	0	0
ESYT3	0	42
ETAA1	0	0
ETDA	0	0
ETDB	0	0
ETDC	0	6
ETF1	0	0
ETFA	0	1992
ETFB	11	62
ETFBKMT	0	2
ETFDH	0	1671
ETFRF1	0	88
ETHE1	3	0
ETNK1	0	66
ETNK2	0	1
ETNPPL	0	48
ETS1	0	0
ETS2	0	0
ETV1	0	3
ETV2	0	0
ETV3	377	99
ETV3L	0	5501
ETV4	7	183
ETV5	0	0
ETV6	0	52
ETV7	0	590
EVA1A	0	101
EVA1B	0	1
EVA1C	2	0
EVC	0	9
EVC2	59	40
EVI2A	0	15
EVI2B	0	0
EVI5	0	18
EVI5L	0	2676
EVL	0	2258
EVPL	0	0
EVPLL	0	2101
EVX1	0	0
EVX2	1	1
EWSR1	0	26
EXD1	0	828
EXD2	0	0
EXD3	0	0
EXO1	0	1
EXO5	0	10
EXOC1	0	476
EXOC1L	0	9
EXOC2	0	261
EXOC3	0	17
EXOC3L1	0	1097
EXOC3L2	0	236
EXOC3L4	0	675
EXOC4	0	4
EXOC5	20	0
EXOC6	4	2115
EXOC6B	0	2
EXOC7	0	96
EXOC8	0	263
EXOG	21	11
EXOSC1	9	0
EXOSC10	0	31
EXOSC2	0	76
EXOSC3	0	0
EXOSC4	0	430
EXOSC5	2	0
EXOSC6	104	1
EXOSC7	0	1896
EXOSC8	0	0
EXOSC9	0	2
EXPH5	0	724
EXT1	2	0
EXT2	0	0
EXTL1	0	1666
EXTL2	0	3
EXTL3	0	6
EYA1	21	0
EYA2	0	2054
EYA3	0	612
EYA4	0	0
EYS	0	3861
EZH1	0	131
EZH2	0	0
EZHIP	0	0
EZR	0	7374
F10	0	15
F11	0	1
F11R	0	0
F12	0	0
F13A1	0	0
F13B	1	125
F2	0	7
F2R	0	0
F2RL1	0	169
F2RL2	0	0
F2RL3	0	0
F3	0	88
F5	0	472
F7	0	28
F8	0	0
F8A1	0	3406
F8A2	0	0
F8A3	0	0
F9	0	1020
FA2H	0	0
FAAH	0	0
FAAH2	0	1703
FAAP100	0	52
FAAP20	0	2487
FAAP24	84	0
FABP1	33	0
FABP12	0	193
FABP2	0	16
FABP3	9	1
FABP4	501	0
FABP5	0	0
FABP6	0	202
FABP7	0	15
FABP9	0	3603
FADD	0	24
FADS1	0	13
FADS2	0	445
FADS3	0	0
FADS6	0	0
FAF1	0	4793
FAF2	0	2
FAH	0	33
FAHD1	0	2
FAHD2A	0	0
FAHD2B	0	17265
FAIM	0	5406
FAIM2	0	18546
FAM102A	0	0
FAM102B	0	0
FAM104A	0	1557
FAM104B	0	60
FAM107A	0	0
FAM107B	156	1
FAM110A	0	4789
FAM110B	41	920
FAM110C	0	14
